Trophy Name,Competition,Slug,manualcheck
Estemaid Trophy,Committee Prize,estemaid,FALSE
Boyle Trophy,Barge Race,boyle,TRUE
Benjamin Cup,Recovery,benjamin,TRUE
NM Barge Trophy,Hand,nm_barge,TRUE
Wynn Juba Cup,Orienteering,wynn_juba,TRUE
JJ Kineally Cup,Overall Team,jj_kineally,TRUE
Friendship Cup,friendship,friendship,TRUE
Bob Hughes Plate,Boat Inspection,bob_hughes,TRUE
Ann Clarke Cup,Jr Friendship,ann_clarke,TRUE
Newman Cup,Surprise Inspection,newman,TRUE
Jimmy Leyden Trophy,Best Endeavour,jimmy_leyden,TRUE
Dennis Byrne Cup,First Mate Boat Handling,dennis_byrne,TRUE
Finton Harold Cup,Line Heaving Mens,finton_harold,TRUE
McCormack Plate,Line Heaving Womens,mccormack,TRUE
Dennis Juba Cup,Man Over Board,dennis_juba,TRUE
Westpark Cup,Boat Handling,westpark,TRUE
Eric Timon Ditty Cup,ditty,eric_timon,TRUE
Tavern Cup,Time Trial,tavern,TRUE
Scarriff Shield,Barge Handling,scarriff,TRUE
JH Stimpson Cup,Sailing,jh_stimpson,TRUE
Benson Shield,Young Bosun,benson,TRUE
Church Bay Cup,Best Newcomer,church_bay,FALSE
Derg Cup,Sailing,Historical,TRUE
Goosander Perpetual Trophy,Sailing,Historical,TRUE
Sean Kenny Trophy,Young Sailors,Historical,TRUE
O Connor Trophy,Tall Ships,Historical,TRUE
