Year,Rally Number,Draft 1 Photos,Status
1975,1,0,Pending
1976,2,0,Pending
1977,3,0,Pending
1978,4,0,Pending
1980,5,0,Pending
1981,6,0,Pending
1982,7,0,Pending
1983,8,0,Pending
1984,9,0,Pending
1985,10,0,Pending
1986,11,0,Pending
1987,12,0,Pending
1988,13,0,Pending
1989,14,0,Pending
1990,15,0,Pending
1991,16,0,Pending
1992,17,0,Pending
1993,18,0,Pending
1994,19,0,Pending
1995,20,0,Pending
1996,21,0,Pending
1997,22,0,Pending
1998,23,0,Pending
1999,24,0,Pending
2000,25,0,Pending
2001,26,0,Pending
2002,27,0,Pending
2003,28,0,Pending
2004,29,0,Pending
2005,30,0,Pending
2006,31,0,Pending
2007,32,0,Pending
2008,33,0,Pending
2009,34,0,Pending
2010,35,0,Pending
2011,36,0,Pending
2012,37,0,Pending
2013,38,0,Pending
2014,39,0,Pending
2015,40,0,Pending
2016,41,0,Pending
2017,42,0,Pending
2018,43,0,Pending
2019,44,0,Pending
2022,45,0,Pending
2023,46,400,Verified
2024,47,0,Pending
2025,48,0,Pending
2026,49,0,Pending
2027,50,0,Pending
